movie_name,month,year,ratings,user_vote,genres,country
Black Panther,2.0,2018.0,7.3,839000,,
Black Snake Moan,3.0,2007.0,6.9,67000,,
Black Swan,12.0,2010.0,8.0,826000,,
Black and Blue,10.0,2019.0,6.4,27000,,
Black and White,4.0,2000.0,,,,
Black or White,1.0,2015.0,6.6,14000,,
Blackhat,1.0,2015.0,5.5,64000,,
Blade 2,3.0,2002.0,,,,
Blade II,3.0,2002.0,6.7,235000,,United States Germany
Blade Runner 2049,10.0,2017.0,8.0,667000,,
Blade: Trinity,12.0,2004.0,5.8,188000,,
Blades of Glory,3.0,2007.0,6.3,178000,,
Blair Witch,9.0,2016.0,5.0,50000,,
Bleed for This,12.0,2016.0,6.8,30000,Biography Drama Sport,
Blended,5.0,2014.0,6.5,145000,,
Bless the Child,8.0,2000.0,5.1,15000,Crime Drama Horror Thriller,United States Germany Canada
Blinded by the Light,8.0,2019.0,6.9,27000,,
Blindness,10.0,2008.0,6.5,75000,,
Blockers,4.0,2018.0,6.2,86000,,
Blood Diamond,12.0,2006.0,8.0,587000,,
Blood Done Sign My Name,2.0,2010.0,6.5,645,,United States
Blood Work,8.0,2002.0,6.4,48000,,
Blood and Chocolate,1.0,2007.0,5.3,18000,,United States United Kingdom Germany Romania
BloodRayne,1.0,2006.0,3.0,37000,,Canada Germany United States
Bloodshot,11.0,2019.0,,,,
Blow,4.0,2001.0,7.5,275000,,
Blue Beetle,8.0,2023.0,6.0,95000,,
Blue Crush,8.0,2002.0,5.7,33000,,
Blue Jasmine,7.0,2013.0,7.3,213000,,
Blue Valentine,12.0,2010.0,7.3,212000,,
Boat Trip,3.0,2003.0,4.9,32000,,United States Germany
Bobby,11.0,2006.0,7.0,43000,,
Bobby Jones: Stroke of Genius,4.0,2004.0,6.6,41000,,United States
Body of Lies,10.0,2008.0,7.0,240000,,
Bohemian Rhapsody,11.0,2018.0,7.9,594000,,
Boiler Room,2.0,2000.0,7.0,57000,Crime Drama Thriller,
Bolt,11.0,2008.0,6.8,229000,,
Bombshell,12.0,2019.0,6.8,127000,Biography Drama,
Bon Voyage,10.0,2003.0,6.7,51000,,
Bones,10.0,2001.0,4.4,82000,,
Boo 2! A Madea Halloween,10.0,2017.0,4.0,53000,,United States
Boo! A Madea Halloween,10.0,2016.0,4.6,93000,,Hong Kong United States
Boogeyman,2.0,2005.0,4.2,33000,,
Book Club,5.0,2018.0,6.1,33000,,
Book of Shadows: Blair Witch 2,10.0,2000.0,4.0,40000,Adventure Fantasy Horror Mystery Thriller,United States
Booksmart,5.0,2019.0,7.1,131000,,
Borat,11.0,2006.0,7.4,443000,,
Borg vs McEnroe,9.0,2017.0,,,,
Bounce,11.0,2000.0,5.8,22000,,
Bowling for Columbine,10.0,2002.0,8.0,149000,,
Boy Erased,11.0,2018.0,6.9,42000,Biography Drama,
Boyhood,7.0,2014.0,7.9,367000,,
Boys and Girls,6.0,2000.0,5.4,18000,Comedy Drama Romance,
Bran Nue Dae,9.0,2010.0,6.2,2000,,
Brave,6.0,2012.0,7.1,443000,,
Breakin' All the Rules,5.0,2004.0,5.6,64000,,
Breaking In,5.0,2018.0,5.5,17000,,
Breakthrough,4.0,2019.0,6.3,11000,,
Brick Mansions,4.0,2014.0,5.6,44000,,
Bride & Prejudice,2.0,2005.0,6.2,22000,,United Kingdom United States India France
Bride Wars,1.0,2009.0,5.5,116000,,
Bridesmaids,5.0,2011.0,6.8,310000,,
Bridge of Spies,10.0,2015.0,7.6,328000,,
Bridge to Terabithia,2.0,2007.0,7.2,174000,,
Bridget Jones's Baby,9.0,2016.0,6.5,82000,,United States France China United Kingdom
Bridget Jones's Diary,4.0,2001.0,6.8,264000,,
Bridget Jones: The Edge Of Reason,11.0,2004.0,,,,
Bridget Jones: The Edge of Reason,11.0,2004.0,6.0,123000,,United Kingdom France Germany Ireland United States
Bridget Jones’s Baby,9.0,2016.0,,,,
Bright Star,9.0,2009.0,6.9,29000,,
BrightBurn,5.0,2019.0,,,,
Brightburn,5.0,2019.0,6.1,108000,,United States
Brighton Rock,8.0,2011.0,5.7,68000,,United Kingdom France
Bring it On,8.0,2000.0,,,,
Bringing Down the House,3.0,2003.0,5.6,39000,,
Brokeback Mountain,12.0,2005.0,7.7,383000,,
Broken City,1.0,2013.0,6.1,83000,,
Broken Flowers,8.0,2005.0,7.1,107000,,
Brooklyn,11.0,2015.0,7.5,151000,,
Brooklyn Rules,5.0,2007.0,6.3,6000,,United States
Brooklyn's Finest,3.0,2010.0,6.7,66000,,
Brother Bear,10.0,2003.0,6.9,124000,,
Brotherhood of the Wolf,1.0,2023.0,7.0,72000,,France
Brothers,12.0,2009.0,7.1,147000,,
Brown Sugar,10.0,2002.0,6.5,10000,,United States
Bruce Almighty,5.0,2003.0,6.8,434000,,
Brüno,7.0,2009.0,5.9,154000,Comedy,
Bubble,1.0,2006.0,6.5,84000,,United States
Bubble Boy,8.0,2001.0,5.7,35000,,United States
Bucky Larson: Born to Be a Star,9.0,2011.0,3.3,13000,,United States
